code_departement;samplings;avg_result;std_result;min_result;max_result;communes;alerts;pollution_score
1;3613;11.167;68.797;0.0;1817.0;396;0.0;0.0
67;3954;14.385;87.009;0.0;10000.0;514;0.0;0.0
77;4886;7.402;62.568;0.0;1246.0;502;0.0;0.0
76;4551;12.002;79.945;0.0;926.0;688;0.0;0.0
75;1689;16.958;88.515;0.0;926.0;3;0.0;0.0
74;5853;11.748;69.722;0.0;1329.0;279;0.0;0.0
73;4929;10.547;61.439;0.0;1350.0;272;0.0;0.0
72;1986;11.229;72.742;0.0;879.0;335;0.0;0.0
71;2255;11.5;70.26;0.0;1799.0;554;0.0;0.0
70;2473;8.987;57.78;0.0;835.0;535;0.0;0.0
69;3457;14.077;77.296;0.0;1973.0;272;0.0;0.0
68;3965;12.465;73.17;0.0;1200.0;357;0.0;0.0
66;3112;10.898;70.616;0.0;3460.0;226;0.0;0.0
79;1264;11.326;72.101;0.0;959.0;252;0.0;0.0
65;2775;12.135;50.469;0.0;699.0;465;0.0;0.0
64;2881;10.476;52.086;-4.0;1061.0;532;0.0;0.0
63;3655;6.928;36.767;0.0;1600.0;471;0.0;0.0
62;6297;21.859;117.429;-9.7;1555.0;897;0.0;0.0
61;1919;11.248;72.919;0.0;1252.0;381;0.0;0.0
60;3875;16.646;96.74;-42.5;1581.0;681;0.0;0.0
59;6187;27.139;139.104;0.0;1320.0;644;0.0;0.0
58;1489;8.929;61.519;0.0;2593.0;307;0.0;0.0
57;4073;18.965;139.837;0.0;25000.0;727;0.0;0.0
56;2493;12.599;62.498;0.0;1380.0;250;0.0;0.0
78;3856;15.199;92.125;0.0;1041.0;266;0.0;0.0
80;3457;20.387;104.535;-30.5;955.0;763;0.0;0.0
54;4340;16.128;87.124;0.0;1200.0;588;0.0;0.0
93;2782;21.399;102.67;0.0;1260.0;48;0.0;0.0
02B;2209;15.962;71.335;0.0;1749.0;234;0.0;0.0
02A;1537;12.593;56.623;0.0;2748.0;124;0.0;0.0
029;277;9.258;49.481;0.0;947.0;162;0.0;0.0
976;1064;19.769;74.967;0.0;3085.0;16;0.0;0.0
974;2667;6.822;36.155;0.0;1300.0;24;0.0;0.0
973;832;17.826;183.714;0.0;12827.0;22;0.0;0.0
972;943;3.648;21.199;0.0;807.0;34;0.0;0.0
971;1661;11.808;207.386;0.0;47332.0;34;0.0;0.0
95;3184;14.234;85.913;-2.5;1094.0;188;0.0;0.0
94;2432;22.703;104.16;0.0;817.0;53;0.0;0.0
92;3109;17.762;89.826;0.0;949.0;42;0.0;0.0
81;2180;5.861;37.804;0.0;965.0;313;0.0;0.0
91;3018;19.332;95.806;0.0;849.0;200;0.0;0.0
90;480;5.978;40.26;0.0;586.0;99;0.0;0.0
89;3448;10.259;69.44;0.0;792.0;419;0.0;0.0
88;3359;9.972;58.929;0.0;2400.0;536;0.0;0.0
87;2425;8.585;64.648;0.0;13093.0;195;0.0;0.0
86;2239;15.551;94.28;0.0;3900.0;264;0.0;0.0
85;2143;13.395;71.674;0.0;954.193;250;0.0;0.0
84;1680;17.85;94.645;0.0;1256.0;155;0.0;0.0
83;4424;18.293;107.197;-2.0;4330.0;155;0.0;0.0
82;1040;12.183;67.603;0.0;1158.0;195;0.0;0.0
55;2994;17.348;87.076;-12.2;830.0;508;0.0;0.0
53;1692;9.503;60.939;0.0;3290.0;243;0.0;0.0
2;3151;21.352;110.572;-38.0;1478.0;801;0.0;0.0
14;3696;14.01;85.886;0.0;1082.0;482;0.0;0.0
25;3086;14.258;77.939;0.0;3320.0;245;0.0;0.0
24;2641;12.958;74.607;0.0;1265.0;498;0.0;0.0
23;1516;6.421;64.084;0.0;13093.0;255;0.0;0.0
22;3032;12.501;65.264;0.0;9553.0;344;0.0;0.0
21;3253;9.89;67.993;0.0;871.0;700;0.0;0.0
19;2650;7.304;38.592;0.0;1496.0;280;0.0;0.0
18;1324;13.052;74.754;0.0;831.0;285;0.0;0.0
17;3079;12.448;83.2;-3.7;964.0;463;0.0;0.0
16;1329;13.099;79.183;0.0;925.0;359;0.0;0.0
15;2306;6.203;29.245;0.0;1360.0;241;0.0;0.0
13;5073;17.509;90.893;0.0;2700.0;119;0.0;0.0
27;2904;13.015;82.566;0.0;920.0;0;0.0;0.0
12;1813;9.786;57.152;0.0;1741.0;270;0.0;0.0
11;3941;11.403;71.524;0.0;1801.0;432;0.0;0.0
10;2708;5.904;51.385;0.0;890.0;389;0.0;0.0
9;2711;8.72;47.486;0.0;1697.0;325;0.0;0.0
8;3127;10.006;66.979;-44.8;1072.0;447;0.0;0.0
7;5109;7.191;43.245;0.0;1079.0;331;0.0;0.0
6;4278;16.994;86.041;0.0;1561.0;164;0.0;0.0
5;3318;12.608;71.572;-5.6;4500.0;161;0.0;0.0
4;3374;15.277;86.736;0.0;1423.0;197;0.0;0.0
3;1206;8.951;51.106;0.0;765.0;317;0.0;0.0
26;3421;14.022;78.575;0.0;1500.0;0;0.0;0.0
28;2387;16.021;87.57;0.0;887.0;0;0.0;0.0
52;2962;19.296;93.141;0.0;1300.0;423;0.0;0.0
41;1853;8.244;61.085;0.0;1160.0;266;0.0;0.0
51;2846;13.862;84.381;-24.7;4825.0;611;0.0;0.0
50;2282;7.567;50.382;0.0;864.0;444;0.0;0.0
49;2112;8.331;58.529;0.0;1070.0;179;0.0;0.0
48;2545;12.963;57.392;0.0;4000.0;150;0.0;0.0
47;1322;10.421;63.388;-0.03;3400.0;325;0.0;0.0
46;1642;17.423;82.681;0.0;996.0;311;0.0;0.0
45;2970;13.082;75.099;0.0;1340.0;328;0.0;0.0
44;3784;13.924;76.548;0.0;1400.0;211;0.0;0.0
43;1928;8.213;36.496;0.0;765.0;258;0.0;0.0
42;2986;5.641;37.287;0.0;2049.0;323;0.0;0.0
40;1768;11.469;60.195;0.0;1880.0;327;0.0;0.0
29;3040;9.554;51.375;0.0;1027.0;128;0.0;0.0
39;2218;13.971;77.247;0.0;2488.0;491;0.0;0.0
38;8224;10.39;64.749;-7.0;3600.0;513;0.0;0.0
37;2451;18.826;108.121;0.0;1584.0;272;0.0;0.0
36;1258;9.856;68.609;0.0;1050.0;241;0.0;0.0
35;2573;13.496;72.116;0.0;2221.0;335;0.0;0.0
34;4800;15.126;88.073;0.0;1571.0;328;0.0;0.0
33;4804;15.553;86.218;-0.71;10000.0;523;0.0;0.0
32;1171;8.635;122.699;0.0;26035.0;438;0.0;0.0
31;3741;10.501;48.543;0.0;702.0;0;0.0;0.0
30;4079;10.182;70.773;0.0;1456.0;228;0.0;0.0
030;194;10.622;70.873;0.0;1034.0;144;0.0;0.0
